,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
183532,0.00033570872690095066,0.3529411764705882,0.9998698314886413,0.004251012145748988,0.00240174672489083,0.00023185561075446886,0.00019976738530953374,0.009931719428926133,0.0,0.008072145040904297,0.008762855224543722,0.6684931506849315,0.0,0.08302247316464642,0.2737832352974904,2.9217451575042335e-05,3.072814522521435e-05,0.9996480268467357,6.362088896769196e-08,0.1399539124619586,0.9998728725335513,0.9998698315354103,0.9996480524286725,8.748817996615023e-08,0.1399539124619586,0.999872872783635,0.002983277301323766,0.00015318643635780745,0.0005618291288116828,0.001621864894761014,6.290479290398709e-08,0.0,0.0,0.0,0.0,0.004984039872318979,0.0038862083269654824,1.5363943896475e-05,3.072788779295e-05,0.0,0.015145872129112354,0.041048844818836444,0.023125076332472176,0.0005347691553824363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.04196478331934693,0.008072145040904297,0.08302247316464642,0.0,0.0,0.0,0.0,0.0,0.0,0.004251012145748988,0.00023185561075446886,0.00240174672489083,0.00019976738530953374,0.41021728515625,0.0035247802734375,0.015518913676042677,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375089,0.00033570872690095066,0.3529411764705882,0.9998694420153236,0.0,0.0001091703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250000002252602,0.9996480024317487,0.0,0.1399537753531147,0.9998728725335513,0.9998694421197557,0.9996480024200123,0.0,0.13995377534960354,0.9998728725293126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022400179201433613,0.00017466104840294303,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001091703056768559,0.0,0.003692626953125,0.0035247802734375,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448768,0.0012207590069125479,0.3529411764705882,0.9998694421991928,0.00020242914979757084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028901736671007785,0.9996480029276101,0.0,0.13995377550146196,0.9998728727126367,0.9998694423079769,0.9996480029276101,0.0,0.13995377550146196,0.9998728727126367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028000224001792015,0.0,0.002890173410404625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020242914979757084,0.0,0.0,0.0,0.0042724609375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133419,0.0003204492393145438,0.3529411764705882,0.9998694420120596,0.0,0.0001091703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000001287201,0.9996480024229464,0.0,0.13995377535048134,0.9998728725303723,0.9998694421197557,0.9996480024200123,0.0,0.13995377534960354,0.9998728725293126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028000224001792015,0.00010916315525183939,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001091703056768559,0.0,0.41021728515625,1.52587890625e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844639,0.0012207590069125479,0.3529411764705882,0.999869442118682,0.00020242914979757084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505306645048,0.9996480027104874,0.0,0.1399537754365052,0.9998728726342205,0.9998694422274661,0.9996480027104874,0.0,0.1399537754365052,0.9998728726342205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028000224001792015,0.0,0.00505050505050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020242914979757084,0.0,0.0,0.0,0.0042724609375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262878,0.00033570872690095066,0.3529411764705882,0.9998694420174995,0.0,0.0001091703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333356932011,0.9996480024376169,0.0,0.1399537753548703,0.9998728725356706,0.9998694421197557,0.9996480024200123,0.0,0.13995377534960354,0.9998728725293126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022400179201433613,0.00017466104840294303,0.04166666666666675,0.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001091703056768559,0.0,0.003692626953125,0.0035247802734375,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44773,0.0003204492393145438,0.3529411764705882,0.9998694420131475,0.0,0.0001091703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000019308016,0.9996480024258805,0.0,0.13995377535135914,0.9998728725314319,0.9998694421197557,0.9996480024200123,0.0,0.13995377534960354,0.9998728725293126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028000224001792015,0.00010916315525183939,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001091703056768559,0.0,0.41021728515625,1.52587890625e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652043,0.0012207590069125479,0.3529411764705882,0.9998694423493347,0.00020242914979757084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001607717298826959,0.9996480033325148,0.0,0.1399537756225976,0.999872872858872,0.9998694424581188,0.9996480033325148,0.0,0.1399537756225976,0.999872872858872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028000224001792015,0.0,0.0016077170418006498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020242914979757084,0.0,0.0,0.0,0.003875732421875,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664455,0.006759953000778234,0.3529411764705882,0.9998758320859453,0.001012145748987854,0.0004366812227074236,6.971963395679059e-05,1.1393862126472469e-05,0.008022967101179392,0.0,0.008900161257442096,0.013035546395565725,0.10410958904109589,0.0,0.026043822726312785,0.08044927450625625,2.871789750755755e-07,4.2591136369035335e-07,0.9996499171809209,4.495562596417271e-06,0.13995881464143417,0.9998728725483867,0.9998758321947301,0.9996514489896479,6.105823880468909e-06,0.13995887609581653,0.9998728725483867,0.0008505660468998133,0.00030572627991236356,0.00041161976918706696,0.0005888513101054346,9.408759738639212e-06,0.0,0.0,0.0,0.0,0.0009240073920591365,0.0005021505141584612,2.55392354175e-07,3.405231389e-07,0.0,0.008022967101179392,0.0270803621264543,0.01768093214478332,0.0003126153615083906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.029776343139459288,0.008900161257442096,0.026043822726312785,0.0,0.0,0.0,0.0,0.0,0.0,0.001012145748987854,6.971963395679059e-05,0.0004366812227074236,1.1393862126472469e-05,0.1250152587890625,0.0144500732421875,0.002909796314258002,0.5,0.001308011576585391,0.0,0.001308011576585391,0.001308011576585391,1.6912215981536326e-05,0.0,5.859326727095137e-06,0.00045551511544870266
454035,0.0,0.0,0.9999919933143363,0.00040485829959514163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.915779373219601e-09,0.9998132514987433,2.965200145774391e-10,0.14000321311354533,0.9999325538038711,0.9999919934231337,0.9998132514987433,2.965200145774391e-10,0.14000321311354533,0.9999325538038711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.658339174999999e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040485829959514163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016591633274752105,5.173919248867846e-10,5.748268235452617e-05,0.004468798063953026
