dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
1.7505748,0.0,0.007221514,0.0,0.0,0.07304284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23856746,0.0038599444,0.14738955,0.001491507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06467286,0.0,0.005423653,0.0,0.0,0.0,0.0,0.028020248,0.009567602,-0.11610402,-0.9718683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26020104,-0.048740946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5063707,0.118511975,0.49909496,9.829046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6226876,0.0,0.007221514,0.0,0.0,-0.01826588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2232073,0.0038599444,-0.117360875,0.001491507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024085382,0.0,0.005423653,0.0,0.0,0.0,0.0,-0.08449265,0.009567602,0.23362368,1.9590354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29686287,0.13651976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5177667,0.118511975,-0.07689339,9.868058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.5031953,0.0,0.0014946812,0.0,0.0,-0.023257487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22226559,0.0012546185,-0.117360875,0.00032037217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031050395,0.0,0.0017642535,0.0,0.0,0.0,0.0,0.009465825,-0.10885771,-0.15619947,-1.6748254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29686287,0.13651976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5415614,-0.15540066,-0.20186183,-5.264564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7505748,0.0,0.007221514,0.0,0.0,-0.01826588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2165885,0.0038599444,-0.117360875,0.001491507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024085382,0.0,0.005423653,0.0,0.0,0.0,0.0,0.028020248,0.009567602,0.23362368,1.7269845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26020104,-0.048740946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3057003,-0.15540066,-0.07689339,9.868058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.5031953,0.0,0.0014946812,0.0,0.0,-0.023257487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22226559,0.0012546185,-0.117360875,0.00032037217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031050395,0.0,0.0017642535,0.0,0.0,0.0,0.0,0.009465825,-0.10885771,-0.15619947,-1.6748254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29686287,0.13651976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5415614,-0.15540066,-0.20186183,-5.264564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6226876,0.0,0.007221514,0.0,0.0,-0.01826588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2232073,0.0038599444,-0.117360875,0.001491507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024085382,0.0,0.005423653,0.0,0.0,0.0,0.0,-0.08449265,0.009567602,0.23362368,1.9590354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29686287,0.13651976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5177667,0.118511975,-0.07689339,9.868058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7505748,0.0,0.007221514,0.0,0.0,-0.01826588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2165885,0.0038599444,-0.117360875,0.001491507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024085382,0.0,0.005423653,0.0,0.0,0.0,0.0,0.028020248,0.009567602,0.23362368,1.7269845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26020104,-0.048740946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3057003,-0.15540066,-0.07689339,9.868058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.5031953,0.0,0.0014946812,0.0,0.0,-0.023257487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22226559,0.0012546185,-0.117360875,0.00032037217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031050395,0.0,0.0017642535,0.0,0.0,0.0,0.0,0.009465825,-0.10885771,-0.15619947,-1.6748254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29686287,0.13651976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5415614,-0.15540066,-0.20186183,-5.264564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.6424062,0.0,-1.6271869,0.0,0.0,-0.023257487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105810985,-0.089379326,0.14738955,-0.12285965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018172232,0.0,-0.11993132,0.0,0.0,0.0,0.0,0.0060807792,0.003149665,-0.3905421,-1.6748254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26020104,-0.1384481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6229231,0.118511975,-0.20186183,-3.901936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.168005,0.0,-2.444837,0.0,0.0,-0.023257487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015672505,-0.10930079,0.14738955,-0.18466517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031050395,0.0,0.0011707973,0.0,0.0,0.0,0.0,-0.035675433,-0.3306724,-0.45053715,-2.205464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29686287,-0.1384481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7770548,-0.15540066,-0.20186183,-5.1932445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7505748,0.0,0.007221514,0.0,0.0,-0.01826588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2165885,0.0038599444,-0.117360875,0.001491507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024085382,0.0,0.005423653,0.0,0.0,0.0,0.0,0.028020248,0.009567602,0.23362368,1.7269845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26020104,-0.048740946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3057003,-0.15540066,-0.07689339,9.868058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
