test_index,threat_key,threat_event,calibrated_probability,likelihood,impact_confidentiality,impact_integrity,impact_availability,impact_overall,risk_score,risk_level,impact_method,timestamp,event_type,event_category,log_level,status,anomaly_reason,user_email_hash,user_domain_type,role,ip_address,url_module,hour,is_off_hours,sess_events_per_hour,ip_events_per_hour,anomaly_reason_reference,top3_features,top3_shap_values,operational_triage
1803,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:03:46,Sync Error Class ID d0fd5006-95f2-44c6-899f-ab2417ec2761: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.676173|-2.413626|1.923688,P2_analyst_review
1805,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:04:46,Sync Error Class ID d1211f52-9d18-4dbd-a26f-6bf3983f7307: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.676173|-2.413626|1.923451,P2_analyst_review
1807,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:05:47,Sync Error Class ID d16d8d82-9645-475f-932b-fd2ecf76c64c: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.676173|-2.413626|1.923451,P2_analyst_review
1809,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:06:47,Sync Error Class ID d20f9ab8-01ac-4625-979e-b5c119401b17: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.663876|-2.437280|1.929734,P2_analyst_review
1811,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:07:47,Sync Error Class ID d7f8de07-0687-403e-8500-429e2d1c600d: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.661971|-2.442385|1.929771,P2_analyst_review
1813,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:08:47,Sync Error Class ID da1df5c9-b1d3-46a9-a701-f3467afaa597: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660993|-2.442385|1.930026,P2_analyst_review
1814,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:09:48,Sync Error Class ID dc2d00dc-fed2-456d-b5a5-e7aa83cc643c: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660993|-2.445153|1.935141,P2_analyst_review
1815,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:10:48,Sync Error Class ID e4ed53d6-8897-4c77-9bb9-da97e91391b6: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660993|-2.445153|1.935141,P2_analyst_review
1816,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:11:48,Sync Error Class ID e99e6434-5411-4432-8e7d-38b360c34965: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.445153|1.935328,P2_analyst_review
1818,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:12:49,Sync Error Class ID eaee4118-ac86-4782-8c02-7ec8f7448853: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.461515|1.942565,P2_analyst_review
1820,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:13:49,Sync Error Class ID ed1680b4-9b6f-40ad-ad15-67fc3e54f5fa: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.479095|1.943044,P2_analyst_review
1821,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:14:49,Sync Error Class ID eda3414d-15e2-4a69-b23f-db9e048176da: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.484013|1.943768,P2_analyst_review
1822,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:15:50,Sync Error Class ID f139fc89-c63c-4467-9ae9-2ed4ea203d13: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.502206|1.944766,P2_analyst_review
1823,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:16:50,Sync Error Class ID f6d3c38f-d2d4-476e-9a2b-906fea52b5d5: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.512377|1.941162,P2_analyst_review
1824,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:17:50,Sync Error Class ID f8e4674f-73a3-48c4-8349-3ef8d7f65c8e: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.512519|1.937745,P2_analyst_review
1825,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:18:51,Sync Error Class ID fa0fc101-bfd0-4512-8731-849ea7642045: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.512519|1.936643,P2_analyst_review
1827,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:19:51,Sync Error Class ID fe98c73f-55fa-42d9-bfe4-9b37542f4fef: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.659977|-2.506314|1.939631,P2_analyst_review
1828,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:20:51,Sync Error Class ID fea129c9-8835-490b-a352-3f5e3a2cf642: API Error InsertKelasKuliah: Nama Kelas Su,error,ERROR,,error_level,,unknown,,,,10,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.659977|-2.506314|1.940733,P2_analyst_review
1832,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 10:43:36,Google OAuth Error,error,ERROR,,auth_error_event,,unknown,,,,10,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.601674|-2.340738|1.448043,P2_analyst_review
1836,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 11:10:00,Cannot use object of type stdClass as array (View: /var/www/html/siuter-unsap/resources/views/fakult,error,ERROR,,error_level,,unknown,,,,11,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.642766|-2.239085|1.374699,P2_analyst_review
1838,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 11:29:51,Cannot use object of type stdClass as array (View: /var/www/html/siuter-unsap/resources/views/fakult,error,ERROR,,error_level,,unknown,,,,11,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.755512|-2.241662|1.312748,P2_analyst_review
1842,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 12:36:55,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.661041|-2.506879|1.949816,P2_analyst_review
1843,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 12:38:00,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.661041|-2.506638|1.949758,P2_analyst_review
1844,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 12:39:26,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.662162|-2.506638|1.946146,P2_analyst_review
1845,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 12:40:40,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30001 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.662162|-2.506638|1.946146,P2_analyst_review
1846,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 12:43:14,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.506638|1.944556,P2_analyst_review
1847,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 12:44:19,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660334|-2.495279|1.951398,P2_analyst_review
1849,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 13:13:10,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,13,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.660905|-2.479095|1.940410,P2_analyst_review
1850,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-07 13:15:04,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,13,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.662519|-2.502206|1.951197,P2_analyst_review
1885,offhours_access,Unauthorized after-hours access,1.0,5,4,3,1,3,15,Very High,weighted,2026-03-08 03:26:07,Login Auth Error: Trailing data,error,ERROR,,auth_error_event,,unknown,,,,3,1,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.245578|-3.311323|2.294070,P1_immediate_investigation
1890,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-08 07:27:38,Login Auth Error: Not enough data available to satisfy format,error,ERROR,,auth_error_event,,unknown,,,,7,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.565549|-2.409503|1.830619,P2_analyst_review
1903,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-08 16:09:15,Login Auth Error: Not enough data available to satisfy format,error,ERROR,,auth_error_event,,unknown,,,,16,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.567754|-2.287224|1.802783,P2_analyst_review
1935,offhours_access,Unauthorized after-hours access,1.0,5,4,3,1,3,15,Very High,weighted,2026-03-09 00:38:19,Google OAuth Redirect Initiated,auth_attempt,INFO,,offhours_access,,unknown,,10.11.228.1,,0,1,0,1,offhours_access,isolation_forest_score|hour|ip_events_per_hour,4.799242|2.665858|1.471193,P1_immediate_investigation
1945,offhours_access,Unauthorized after-hours access,1.0,5,4,3,1,3,15,Very High,weighted,2026-03-09 05:24:59,Google OAuth Redirect Initiated,auth_attempt,INFO,,offhours_access,,unknown,,10.11.228.1,,5,1,0,1,offhours_access,isolation_forest_score|hour|ip_events_per_hour,4.939374|2.789263|1.487699,P1_immediate_investigation
1954,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 09:45:03,Google OAuth Error,error,ERROR,,auth_error_event,,unknown,,,,9,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.959579|-1.753738|-1.607133,P2_analyst_review
1966,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 12:02:22,Login Auth Error: Trailing data,error,ERROR,,auth_error_event,,unknown,,,,12,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.809350|-2.105187|1.296397,P2_analyst_review
1969,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 12:11:56,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.662304|-2.467000|1.881668,P2_analyst_review
1972,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 12:14:24,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.663189|-2.504813|1.875121,P2_analyst_review
1974,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 12:15:31,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.663189|-2.523007|1.877221,P2_analyst_review
1977,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 12:19:39,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.662832|-2.527114|1.871997,P2_analyst_review
1979,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 12:30:31,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,12,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.662828|-2.526475|1.869625,P2_analyst_review
1995,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 13:51:44,Google OAuth Error,error,ERROR,,auth_error_event,,unknown,,,,13,0,0,0,auth_error_event,is_error|ip_events_per_hour|tos_knn_score,9.028080|-1.761938|0.682712,P2_analyst_review
1999,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 14:30:11,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30001 milliseconds wi,error,ERROR,,error_level,,unknown,,,,14,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.662828|-2.527600|1.872057,P2_analyst_review
2004,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-09 16:02:35,Login Auth Error: Not enough data available to satisfy format,error,ERROR,,auth_error_event,,unknown,,,,16,0,0,0,auth_error_event,is_error|ip_events_per_hour|isolation_forest_score,7.772394|-2.114355|1.431262,P2_analyst_review
2034,offhours_access,Unauthorized after-hours access,1.0,5,4,3,1,3,15,Very High,weighted,2026-03-10 05:40:59,Google OAuth Redirect Initiated,auth_attempt,INFO,,offhours_access,,unknown,,10.11.228.1,,5,1,0,1,offhours_access,isolation_forest_score|hour|ip_events_per_hour,4.611820|2.761469|1.484415,P1_immediate_investigation
2042,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 09:14:42,Google OAuth Error,error,ERROR,,auth_error_event,,unknown,,,,9,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.956865|-1.702230|-1.648549,P2_analyst_review
2052,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 10:16:30,Login Auth Error: A four digit year could not be found,error,ERROR,,auth_error_event,,unknown,,,,10,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.956865|-1.684382|-1.639847,P2_analyst_review
2058,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 10:55:27,Google OAuth Error,error,ERROR,,auth_error_event,,unknown,,,,10,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.986312|-1.676039|-1.562830,P2_analyst_review
2063,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 11:25:25,Error syncing mahasiswa from PDDIKTI: cURL error 28: Operation timed out after 30002 milliseconds wi,error,ERROR,,error_level,,unknown,,,,11,0,0,0,error_level,is_error|ip_events_per_hour|isolation_forest_score,7.663110|-2.535530|1.842438,P2_analyst_review
2069,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 13:06:40,Login Auth Error: Trailing data,error,ERROR,,auth_error_event,,unknown,,,,13,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.967305|-1.606953|-1.580743,P2_analyst_review
2081,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 15:09:07,Login Auth Error: Unexpected data found.,error,ERROR,,auth_error_event,,unknown,,,,15,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.958322|-1.652590|-1.591150,P2_analyst_review
2082,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 15:10:01,Login Auth Error: Unexpected data found.,error,ERROR,,auth_error_event,,unknown,,,,15,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.958322|-1.673215|-1.591150,P2_analyst_review
2083,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-10 15:11:37,"Failed to authenticate on SMTP server with username ""noreply@unsap.ac.id"" using the following authen",error,ERROR,,auth_error_event,,unknown,,,,15,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.956865|-1.674155|-1.590936,P2_analyst_review
2085,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-03-10 15:27:33,PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'am.is_synced' in 'where clause,error,ERROR,,db_error_suspicious,,unknown,,,,15,0,0,0,db_error_suspicious,is_error|ip_events_per_hour|isolation_forest_score,7.661389|-2.535534|1.867177,P1_immediate_investigation
2086,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-03-10 15:29:03,PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'am.is_synced' in 'where clause,error,ERROR,,db_error_suspicious,,unknown,,,,15,0,0,0,db_error_suspicious,is_error|ip_events_per_hour|isolation_forest_score,7.661389|-2.535774|1.867239,P1_immediate_investigation
2087,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-03-10 15:32:08,PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'am.is_synced' in 'where clause,error,ERROR,,db_error_suspicious,,unknown,,,,15,0,0,0,db_error_suspicious,is_error|ip_events_per_hour|isolation_forest_score,7.661389|-2.535774|1.867239,P1_immediate_investigation
2088,database_probing,Database probing / SQL injection attempt,1.0,5,3,4,3,3,15,Very High,weighted,2026-03-10 15:35:06,"Aktivitas Record Fail [c8fbb40c-8d02-4823-9f02-6d09f0a5cedf]: SQLSTATE[22001]: String data, right tr",error,ERROR,,db_error_suspicious,,unknown,,,,15,0,0,0,db_error_suspicious,is_error|ip_events_per_hour|isolation_forest_score,7.661393|-2.535854|1.867265,P1_immediate_investigation
2132,offhours_access,Unauthorized after-hours access,1.0,5,4,3,1,3,15,Very High,weighted,2026-03-11 03:20:32,Google OAuth Redirect Initiated,auth_attempt,INFO,,offhours_access,,unknown,,10.11.228.1,,3,1,0,1,offhours_access,isolation_forest_score|hour|ip_events_per_hour,4.165559|2.757661|1.352050,P1_immediate_investigation
2252,application_error,System/application error anomaly,1.0,5,1,2,3,2,10,High,weighted,2026-03-11 14:25:32,Google OAuth Error,error,ERROR,,auth_error_event,,unknown,,,,14,0,0,0,auth_error_event,is_error|isolation_forest_score|ip_events_per_hour,9.808639|-1.808895|-1.650364,P2_analyst_review
